film,imdb_rating,rotten_tomatoes,release_year,worldwide_total_clean,domestic_total_clean,international_total_clean,film_duration,percentage,minutes,action,biopic,comedy,drama,musical,mystery,political,psychological,romance,sci-fi,sports,coeff
all_good_things,6.2,34,2010,1754389.0,582024.0,1172365.0,100.85641196752309,0.18855188575209525,19.016666666666666,1,0,0,1,0,1,0,0,1,0,0,382.235
barbie,6.8,88,2023,1447038421.0,636238421.0,810800000.0,114.06406406406407,0.1601439227731461,18.266666666666666,0,0,1,0,0,0,0,0,0,0,0,865.8399999999999
blade_runner_2049,8.0,88,2017,277937605.0,92071675.0,185859903.0,163.7985207429652,0.2386061434258214,39.083333333333336,0,0,0,0,0,0,0,0,0,1,0,1876.0
blue_valentine,7.3,87,2010,15440333.0,9706328.0,5734005.0,107.70631742853966,0.2805468368808973,30.216666666666665,0,0,0,1,0,0,0,0,0,0,0,1424.7158333333332
crazy_stupid_love,7.4,79,2011,145086643.0,84379584.0,60700000.0,118.10212990768547,0.15311606443904247,18.083333333333332,0,0,1,0,0,0,0,0,1,0,0,781.2
drive,7.8,93,2011,79676262.0,35061555.0,44608330.0,100.40179067956846,0.35557134746666297,35.7,1,0,0,0,0,0,0,0,0,0,0,1799.2800000000002
first_man,7.3,87,2018,105713218.0,44936545.0,60776673.0,140.99933266599933,0.21016647932319707,29.633333333333333,0,1,0,1,0,0,0,0,0,0,0,1397.2116666666666
fracture,7.2,73,2007,92011561.0,39015018.0,52996543.0,113.46068290512736,0.30069153290037987,34.11666666666667,1,0,0,1,0,0,0,0,0,0,0,1368.0783333333334
gangster_squad,6.7,30,2013,105200903.0,46000903.0,59200000.0,112.93029140251363,0.12765987307410576,14.416666666666666,1,0,0,1,0,0,0,0,0,0,0,264.54583333333335
half_nelson,7.1,91,2006,4660481.0,2697938.0,1962543.0,106.67612056500947,0.3585619705460706,38.25,0,0,0,1,0,0,0,0,0,0,0,1876.1625
la_la_land,8.0,91,2016,509183536.0,151101803.0,358079696.0,127.8028028028028,0.2752939103191697,35.18333333333333,0,0,1,1,1,0,0,0,1,0,0,1741.5749999999998
lars_and_the_real_girl,7.3,81,2007,11293663.0,5972884.0,5320779.0,106.76857412968525,0.28269866465268595,30.183333333333334,0,0,1,1,0,0,0,0,0,0,0,1332.5941666666665
murder_by_numbers,6.2,30,2002,56714147.0,31945749.0,24768398.0,120.15696251807364,0.11124338021324477,13.366666666666667,1,0,0,1,0,0,0,1,0,0,0,241.9366666666667
only_god_forgives,5.7,41,2013,10658332.0,779188.0,9879144.0,89.49783116449784,0.4294331251747599,38.43333333333333,1,0,0,1,0,0,0,0,0,0,0,897.4183333333333
remember_the_titans,7.8,71,2000,136771683.0,115719751.0,21051932.0,113.44678011344678,0.13559955882352942,15.383333333333333,0,1,0,1,0,0,0,0,0,0,1,606.1033333333332
song_to_song,5.6,43,2017,1813453.0,443684.0,1369769.0,128.8941719497275,0.13641682216781179,17.583333333333332,0,0,0,1,0,0,0,0,1,0,0,427.275
the_believer,7.1,82,2001,1309316.0,416925.0,892391.0,95.16820462962963,0.42923999836896976,40.85,0,0,0,1,0,0,0,1,0,0,0,1819.8674999999998
the_big_short,7.8,89,2015,133440870.0,70259870.0,63181000.0,130.26498720943167,0.10235546495618857,13.333333333333334,0,0,1,1,0,0,0,0,0,0,0,645.3333333333334
the_gray_man,6.5,45,2022,454023.0,,454023.0,128.8990379268157,0.18011512762297158,23.216666666666665,1,0,0,0,0,0,0,0,0,0,0,597.8291666666667
the_ides_of_march,7.1,84,2011,76338111.0,40962534.0,35375577.0,101.18451785118451,0.3599035449299258,36.416666666666664,1,0,0,1,0,0,1,0,0,0,0,1658.7791666666665
the_nice_guys,7.4,91,2016,71261763.0,36261763.0,35000000.0,115.95275831386944,0.40964959083960306,47.5,1,0,1,0,0,0,0,0,0,0,0,2337.0
the_notebook,7.8,54,2004,118556039.0,81417274.0,37088804.0,123.81687242798354,0.22883257166597423,28.333333333333332,0,0,0,1,0,0,0,0,1,0,0,875.4999999999999
the_place_beyond_the_pines,7.3,79,2012,47162802.0,21403519.0,25759283.0,140.50786898009122,0.1316652236937797,18.5,1,0,0,1,0,0,0,0,0,0,0,798.275
the_united_states_of_leland,6.9,34,2003,343847.0,343847.0,,109.17167167167167,0.25250750716332376,27.566666666666666,0,0,0,1,0,0,0,1,0,0,0,563.7383333333333
