film,domestic_total,international_total,worldwide_total,url,Domestic,Italy,South Africa,Greece,Mexico,Venezuela,Peru,Bolivia,Singapore,United Kingdom,Germany,France,Spain,Netherlands,Poland,Norway,Czech Republic,Portugal,United Arab Emirates,Türkiye,Hungary,Ukraine,Romania,Slovakia,Croatia,Bulgaria,Lithuania,Serbia and Montenegro,Iceland,Slovenia,Brazil,Argentina,Colombia,Australia,New Zealand,Hong Kong,South Korea,Japan,China,Russia/CIS,Taiwan,Thailand,Indonesia,Malaysia,Philippines,India,Vietnam,Pakistan,Mongolia,Sweden,Denmark,Finland,Switzerland,Belgium,Austria,Israel,Estonia,Kuwait,Qatar,Latvia,Bahrain,Oman,Lebanon,Egypt,Nigeria,Kenya,Jordan,Ghana,Chile,Ecuador,Trinidad & Tobago,Dominican Republic,Uruguay,Paraguay,Jamaica,Aruba,East Africa,Cyprus,S/E/W Africa,Central America,Puerto Rico,Lesser Antilles,Panama,Switzerland (French),Switzerland (German),Central America+,West Indies,Russia,source,frame_count,screen_time_seconds,minutes
all_good_things,582024.0,1172365.0,1754389.0,https://www.boxofficemojo.com/title/tt1175709/,582024.0,359547.0,166782.0,52104.0,343616.0,113313.0,61853.0,2232.0,10407.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,all_good_things,1114,1141,19.016666666666666
barbie,636238421.0,810800000.0,1447038421.0,https://www.boxofficemojo.com/title/tt1517268/,636238421.0,33902557.0,2713438.0,,54282404.0,,3700000.0,,,128349643.0,57599864.0,44039205.0,35574798.0,21733606.0,13301194.0,8593528.0,5674124.0,5672308.0,4238121.0,4132029.0,3777526.0,2995441.0,2945315.0,1732859.0,1482564.0,1307828.0,1270486.0,1176867.0,979718.0,907790.0,43800000.0,15500000.0,9334049.0,55430889.0,8618141.0,5145361.0,4312632.0,3883578.0,35200000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,barbie,1036,1096,18.266666666666666
blade_runner_2049,92071675.0,185859903.0,277937605.0,https://www.boxofficemojo.com/title/tt1856101/,92071675.0,6533460.0,443364.0,776525.0,3347674.0,271975.0,405109.0,121434.0,1022234.0,25059931.0,12512546.0,11315002.0,8451409.0,3097052.0,3220275.0,2353232.0,859826.0,960196.0,1272829.0,665290.0,782170.0,1135016.0,911879.0,276416.0,384655.0,274037.0,220699.0,190541.0,222346.0,112090.0,5428085.0,854615.0,702664.0,26521783.0,2898121.0,1351370.0,2436324.0,10520715.0,11651565.0,10041838.0,1807882.0,1421218.0,1267850.0,888472.0,632116.0,616305.0,346535.0,59427.0,24490.0,3537973.0,3497153.0,1980992.0,1791671.0,1674287.0,1313192.0,870205.0,246924.0,177864.0,171783.0,150459.0,117529.0,103597.0,102332.0,92279.0,67310.0,54724.0,41504.0,5515.0,857108.0,287958.0,96705.0,95827.0,52652.0,51229.0,30381.0,11608.0,,,,,,,,,,,,,blade_runner_2049,2305,2345,39.083333333333336
blue_valentine,9706328.0,5734005.0,15440333.0,https://www.boxofficemojo.com/title/tt1120985/,9706328.0,,27214.0,198518.0,208387.0,83264.0,41796.0,,,1036873.0,667508.0,235708.0,547915.0,86615.0,,151655.0,,72303.0,,17026.0,,,,,,,1425.0,,2204.0,,486143.0,247742.0,,1021402.0,118676.0,110596.0,,,,,26658.0,27310.0,,,,,,,,143759.0,,,,78895.0,66842.0,,,,,7828.0,,,,,,,,,,8485.0,,,11258.0,,,,,,,,,,,,,,,,blue_valentine,1740,1813,30.216666666666665
crazy_stupid_love,84379584.0,60700000.0,145086643.0,https://www.boxofficemojo.com/title/tt1570728/,84379584.0,1257494.0,874411.0,680820.0,4630099.0,1061554.0,660660.0,68838.0,951942.0,5389221.0,4667066.0,4201036.0,2007711.0,2156144.0,678785.0,351746.0,129204.0,777066.0,683388.0,582107.0,405016.0,332929.0,98499.0,127405.0,53835.0,61585.0,77150.0,61848.0,110963.0,118768.0,1516702.0,937831.0,526128.0,7124649.0,941081.0,220037.0,,,,2050176.0,,,,,662932.0,,,,,1011845.0,224909.0,384215.0,,783062.0,1215819.0,903853.0,108604.0,,,,,,351204.0,122191.0,,,,,177668.0,206333.0,,,80112.0,,,,30509.0,,,,,,,,,,,,crazy_stupid_love,1019,1085,18.083333333333332
drive,35061555.0,44608330.0,79676262.0,https://www.boxofficemojo.com/title/tt0780504/,35061555.0,2396019.0,150447.0,494792.0,996469.0,124724.0,97757.0,2365.0,119242.0,4693696.0,1796027.0,13264311.0,3096335.0,600151.0,835142.0,899673.0,234668.0,224460.0,327994.0,109622.0,190190.0,,39293.0,47646.0,33218.0,60092.0,,15914.0,140992.0,,742446.0,366886.0,40987.0,4728005.0,701146.0,172512.0,335787.0,348304.0,,2058038.0,,64300.0,,,,,,,,674644.0,1278666.0,387039.0,,1095013.0,458004.0,,,,,,,,54592.0,,,,,,89519.0,,,,21203.0,,,,,,,,,,,,,,,,drive,2090,2142,35.7
first_man,44936545.0,60776673.0,105713218.0,https://www.boxofficemojo.com/title/tt1213641/,44936545.0,3383416.0,82913.0,375150.0,1210109.0,90274.0,103631.0,30176.0,399375.0,10095768.0,2594345.0,6495289.0,2315163.0,1407503.0,927802.0,507490.0,400553.0,311996.0,743841.0,336351.0,493039.0,345919.0,141274.0,160870.0,49040.0,118762.0,86220.0,26633.0,24853.0,27284.0,1558783.0,138725.0,130375.0,4409112.0,720980.0,755463.0,5471186.0,4399656.0,,1174022.0,499184.0,308456.0,560812.0,192986.0,146837.0,590381.0,74606.0,16235.0,24368.0,1040280.0,851527.0,405063.0,769084.0,751177.0,418101.0,401319.0,79065.0,,,41085.0,,,49928.0,57349.0,,,,,108972.0,85751.0,11638.0,,20970.0,16632.0,,,,17837.0,,,,,,,,,,,first_man,1733,1778,29.633333333333333
fracture,39015018.0,52996543.0,92011561.0,https://www.boxofficemojo.com/title/tt0488120/,39015018.0,3521113.0,603937.0,695833.0,4720398.0,793234.0,210947.0,29819.0,249726.0,6684382.0,4537153.0,8306643.0,2505159.0,1087745.0,683473.0,180808.0,44781.0,709160.0,53385.0,538626.0,535890.0,41925.0,123023.0,38715.0,35115.0,129013.0,59807.0,41662.0,79796.0,91694.0,2582495.0,1211338.0,234816.0,2549415.0,209828.0,209612.0,,,,355000.0,878095.0,262486.0,,48638.0,105418.0,,,,,410400.0,379033.0,127917.0,1103677.0,1833299.0,760059.0,511012.0,46036.0,,,92915.0,,,39078.0,34544.0,12355.0,,,,228007.0,93900.0,,,105496.0,,,,42436.0,,678442.0,355944.0,126846.0,35044.0,,,,,,,fracture,1995,2047,34.11666666666667
gangster_squad,46000903.0,59200000.0,105200903.0,https://www.boxofficemojo.com/title/tt1321870/,46000903.0,1690641.0,388033.0,676358.0,3107959.0,1092317.0,165883.0,23699.0,785707.0,8209350.0,2587867.0,5751984.0,2102871.0,1650916.0,336919.0,1239588.0,234504.0,244062.0,656853.0,421248.0,254275.0,340100.0,,210797.0,93265.0,137070.0,,75935.0,65504.0,49967.0,1028380.0,540899.0,270531.0,7477123.0,811593.0,88735.0,,2646226.0,,4216325.0,,216629.0,856158.0,,195482.0,156243.0,,,,1107062.0,622411.0,222781.0,,1132060.0,231692.0,222631.0,,,,,,,100791.0,36920.0,133080.0,,,,105154.0,109085.0,,,24015.0,,,,29415.0,,,,,,,,,,,,gangster_squad,834,865,14.416666666666666
half_nelson,2697938.0,1962543.0,4660481.0,https://www.boxofficemojo.com/title/tt0468489/,2697938.0,,52743.0,128500.0,,,,,,524775.0,25220.0,371333.0,220293.0,1692.0,,,,22754.0,,,3889.0,,,,,,,,,,,,,482025.0,36184.0,,,,,,8194.0,,,,,,,,,,16843.0,,,67078.0,1020.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,half_nelson,2200,2295,38.25
